25620570;41.15299;-8.612018
25620653;41.1536;-8.611996
25620737;41.14795;-8.612149
25620743;41.14788;-8.611281
25620747;41.14784;-8.610926
25620759;41.1488;-8.612135
25620947;41.14717;-8.612186
25620948;41.14755;-8.613368
25620960;41.14599;-8.612215
25632226;41.15071;-8.621094
25632227;41.15168;-8.621293
25632230;41.14964;-8.620875
25632362;41.14777;-8.622663
25632363;41.14745;-8.620352
25632370;41.14777;-8.620502
25632371;41.14762;-8.620204
25632411;41.15094;-8.60425
25632412;41.14939;-8.60411
25632422;41.1492;-8.61045
25632433;41.1492;-8.603171
111479498;41.1436;-8.62163
111479500;41.14343;-8.621334
111479501;41.14316;-8.620948
111479502;41.14257;-8.620356
111479503;41.14239;-8.620086
111479504;41.14158;-8.618849
111479505;41.1415;-8.618714
111479506;41.14054;-8.616597
111479507;41.1405;-8.616468
111479508;41.14048;-8.616322
111479509;41.14049;-8.616189
111479510;41.14054;-8.616021
111481288;41.14143;-8.613438
111481561;41.14165;-8.61452
111481563;41.14125;-8.614502
111481848;41.14166;-8.615314
111481849;41.14095;-8.615317
112686789;41.14125;-8.610816
112686793;41.14066;-8.609663
112686794;41.14083;-8.609519
112688566;41.1418;-8.605206
112688570;41.1419;-8.602747
112688573;41.14203;-8.601671
112688575;41.14203;-8.600853
112688576;41.14199;-8.60048
112688578;41.14184;-8.599618
112688580;41.14165;-8.599053
112688582;41.1409;-8.597365
122549700;41.14426;-8.623574
128679581;41.14604;-8.620148
128680158;41.14637;-8.617693
129544876;41.14588;-8.613521
129553665;41.14832;-8.606329
129553667;41.14703;-8.606807
129553875;41.14764;-8.603931
129554083;41.14653;-8.603822
129554561;41.14729;-8.602621
129557542;41.14548;-8.615565
129557601;41.14603;-8.613873
129558556;41.14495;-8.617328
129558976;41.14278;-8.615279
129559333;41.14519;-8.610891
129559334;41.14274;-8.614152
137831873;41.14849;-8.619493
137831876;41.14861;-8.619337
137831881;41.1485;-8.618353
137831884;41.14847;-8.618287
137831888;41.14801;-8.618095
137831894;41.14726;-8.617018
137831895;41.14717;-8.6163
137831896;41.14718;-8.616215
137868887;41.14466;-8.611577
137873037;41.1449;-8.611736
137882131;41.14403;-8.604932
137884299;41.1455;-8.603261
137888646;41.14334;-8.605261
137896681;41.14566;-8.60525
137901873;41.14642;-8.601911
137903870;41.14638;-8.604301
137903872;41.1463;-8.604342
137903874;41.14625;-8.604333
137903876;41.1452;-8.605919
137903879;41.14482;-8.606874
137955522;41.14605;-8.603377
138218138;41.14559;-8.62389
138220017;41.1462;-8.6141
138220019;41.14659;-8.614741
138220134;41.14764;-8.613749
138222054;41.14531;-8.613358
138222057;41.14578;-8.613555
138223440;41.14524;-8.613586
138230330;41.14431;-8.609055
138230332;41.14389;-8.610087
138230334;41.14354;-8.610365
138230335;41.14353;-8.610415
138231423;41.14289;-8.605482
138231424;41.14251;-8.605865
138231425;41.14233;-8.606449
138231426;41.14233;-8.606713
138231427;41.14244;-8.607239
138231433;41.1432;-8.608809
138233064;41.14488;-8.608132
138233991;41.1433;-8.608019
138234001;41.14268;-8.603102
138234198;41.143;-8.608212
138234852;41.14739;-8.608653
138235495;41.14754;-8.609353
138238298;41.14795;-8.599035
138238299;41.14735;-8.599815
138238303;41.14695;-8.600514
285910556;41.14184;-8.61449
285939317;41.14772;-8.620051
285939347;41.14788;-8.619653
285944429;41.14719;-8.615245
285944799;41.14807;-8.618356
285945203;41.14743;-8.620568
286968481;41.14825;-8.609438
286968787;41.14778;-8.608421
286968789;41.14811;-8.609301
286969224;41.14929;-8.611199
286969308;41.14537;-8.61459
286969310;41.14565;-8.613503
286969387;41.14486;-8.613845
286969389;41.14392;-8.615019
286969390;41.14361;-8.615189
286969391;41.14332;-8.615434
286969392;41.14324;-8.615486
286969393;41.14311;-8.615649
286969394;41.14297;-8.615945
286969395;41.14293;-8.616122
286969396;41.14292;-8.616286
286969397;41.14293;-8.616579
286969398;41.14297;-8.616913
286969399;41.14308;-8.61717
286969400;41.14311;-8.617342
286969778;41.14059;-8.61371
286969779;41.14052;-8.614085
286969782;41.14023;-8.615095
286969783;41.14022;-8.615182
286969784;41.14022;-8.615273
286969785;41.14028;-8.615623
286969786;41.14037;-8.615805
286969787;41.14042;-8.616067
286969936;41.14251;-8.615276
286969938;41.14242;-8.61565
286969939;41.14236;-8.615832
286969940;41.14215;-8.616264
286969943;41.14092;-8.617435
286969970;41.14167;-8.616755
286970022;41.14072;-8.615488
286970024;41.14073;-8.616302
286970025;41.1408;-8.616524
286970027;41.14129;-8.617109
314549177;41.14484;-8.616876
343646802;41.14794;-8.618079
345296684;41.14801;-8.615174
475410116;41.14728;-8.60811
475410511;41.14827;-8.608134
475413943;41.14798;-8.606457
475544038;41.14697;-8.613573
475548529;41.1454;-8.615728
475548530;41.1449;-8.615485
